country,continent,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Guinea,Africa,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,514,530,535,542,541,543,556,563,573,583,598,604,612,613,622,641,637,639,645,639,667,679,656,672,695,720,732,741,750,810,869,897,921
Haiti,North America,993,946,1000,963,929,931,908,872,883,900,889,931,925,952,990,984,1050,1060,1110,1170,1220,1160,1100,1080,1060,1040,1010,983,965,918,909,908,843,782,676,729,746,752,755,762,756,735,721,712,676,677,681,693,687,698,666,692,701,721,730,729,730,729,730,714
Honduras,North America,1100,1090,1120,1120,1150,1220,1250,1290,1330,1300,1310,1320,1360,1420,1360,1350,1450,1550,1590,1630,1590,1520,1450,1420,1460,1500,1530,1590,1570,1560,1560,1470,1510,1570,1530,1570,1560,1580,1600,1540,1610,1610,1630,1660,1720,1780,1850,1920,1960,1870,1900,1940,1980,2000,2030,2070,2110,2180,2220,2240
Hungary,Europe,8860,8860,8860,8860,8860,8860,8860,8860,8860,8860,8860,8860,8860,8860,8860,8860,8860,8860,8860,8860,8860,8860,8860,8860,8860,8860,8860,8860,8860,8860,8860,8860,8590,8550,8810,8960,8980,9280,9670,9990,10500,10900,11500,12000,12600,13100,13700,13700,13900,13000,13100,13400,13300,13600,14200,14700,15100,15800,16600,17500
India,Asia,330,336,339,352,370,353,345,365,369,385,396,394,382,386,382,407,404,424,438,405,423,438,443,464,471,485,497,505,542,562,581,576,595,611,639,675,712,727,758,810,827,852,869,922,979,1040,1110,1170,1190,1270,1360,1410,1470,1540,1640,1750,1880,1990,2090,2170
Indonesia,Asia,690,711,705,671,677,666,666,657,709,737,772,805,839,884,927,949,990,1050,1090,1150,1230,1300,1300,1320,1380,1390,1440,1480,1540,1620,1710,1790,1880,1970,2080,2220,2360,2430,2080,2070,2140,2190,2260,2340,2420,2520,2630,2760,2890,2980,3120,3270,3420,3560,3690,3820,3970,4120,4280,4450
Iran,Asia,2980,3240,3420,3580,3810,4350,4710,5120,5720,6480,7010,7810,8700,9190,9520,9020,10300,9540,7940,6860,4790,4370,5330,5560,4860,4770,4120,3990,3640,3730,4130,4540,4580,4560,4420,4460,4630,4590,4630,4610,4820,4790,5080,5450,5620,5740,5950,6370,6320,6310,6600,6700,6120,6040,6230,6070,6790,6950,6950,6950
Iraq,Asia,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1470,1490,1500,1520,1700,1860,2100,2080,2360,2760,3350,3230,3250,2750,2640,2620,2680,2870,2810,2660,4090,1430,1850,2340,2350,2330,2510,2950,3850,4390,4320,4290,3880,2520,3790,3870,4180,4170,4440,4490,4660,4850,5320,5510,5340,5300,5930,5640,5480,5590
Israel,Asia,8790,9460,9930,10600,11000,11600,11300,11100,12700,14000,14000,15000,16400,16600,17200,17400,17000,16800,17400,18000,17900,18500,18500,18800,18700,19100,19600,20700,20900,20700,21500,21800,22700,23000,24100,25000,25600,26000,26400,26500,27700,27100,26600,26400,27000,27500,28600,29700,30000,29600,30700,31600,31700,32400,33000,33100,33700,34200,34700,35300
Italy,Europe,10900,11700,12300,12900,13200,13500,14200,15100,16000,16900,17700,17900,18500,19600,20600,20000,21400,21800,22400,23700,24500,24700,24700,25000,25800,26500,27300,28200,29300,30300,30900,31300,31600,31300,31900,32900,33300,33900,34500,35000,36300,37000,37100,36900,37200,37300,37900,38300,37700,35500,36000,36200,35000,34000,33700,34000,34500,35100,35400,35600
